audio_file_path,subject,issueTime,sex,treatment,strain
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/Box12,028,144559,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/Box04,029,144222,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/box05,034,144254,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/Box13,035,144632,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/Box06,049,144320,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/box01,005,144049,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/Box14,050,144711,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/Box15,051,144714,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/Box08,054,144355,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/Box16,058,144738,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/Box09,006,144425,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_14-38-44_Wistar_Urgency_group3/pi-data_2024-09-26_14-38-44_Wistar_Urgency_group3/Box02,009,144114,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_15-38-17_Wistar_Urgency_group4/pi-data_2024-09-26_15-38-17_Wistar_Urgency_group4/Box10,015,154155,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-26_15-38-17_Wistar_Urgency_group4/pi-data_2024-09-26_15-38-17_Wistar_Urgency_group4/Box02,016,154039,F,Control,Wistar
